FrameID,Action,Mouse_position,execution_time
0000000104,Space,"(1605, 544)",1538255483.5958557
0000000104,Space,"(1605, 544)",1538255483.6068265
0000000104,Space,"(1605, 544)",1538255483.6177971
0000000105,Space,"(1605, 544)",1538255483.6527038
0000000105,Space,"(1605, 544)",1538255483.6636746
0000000105,Space,"(1605, 544)",1538255483.674645
0000000105,Space,"(1605, 544)",1538255483.6856158
0000000105,Space,"(1605, 544)",1538255483.6965866
0000000105,Space,"(1605, 544)",1538255483.7075572
0000000105,Space,"(1605, 544)",1538255483.7185283
0000000105,Space,"(1605, 544)",1538255483.7294993
0000000105,Space,"(1605, 544)",1538255483.740469
0000000105,Space,"(1605, 544)",1538255483.7514396
0000000105,Space,"(1605, 544)",1538255483.7624102
0000000106,Space,"(1605, 544)",1538255483.802304
0000000106,Space,"(1605, 544)",1538255483.813275
0000000106,Space,"(1605, 544)",1538255483.824245
0000000106,Space,"(1605, 544)",1538255483.8352158
0000000106,Space,"(1605, 544)",1538255483.8461862
0000000106,Space,"(1605, 544)",1538255483.8571572
0000000106,Space,"(1605, 544)",1538255483.8681278
0000000106,Space,"(1605, 544)",1538255483.8790984
0000000106,Space,"(1605, 544)",1538255483.890069
0000000106,Space,"(1605, 544)",1538255483.90104
0000000106,Space,"(1605, 544)",1538255483.9120104
0000000107,Space,"(1605, 544)",1538255483.9509065
0000000107,Space,"(1605, 544)",1538255483.9618773
0000000107,Space,"(1605, 544)",1538255483.9728477
0000000107,Space,"(1605, 544)",1538255483.9838185
0000000107,Space,"(1605, 544)",1538255483.9947891
0000000107,Space,"(1605, 544)",1538255484.0057595
0000000107,Space,"(1605, 544)",1538255484.0167305
0000000107,Space,"(1605, 544)",1538255484.027701
0000000107,Space,"(1605, 544)",1538255484.038672
0000000107,Space,"(1605, 544)",1538255484.0496423
0000000107,Space,"(1605, 544)",1538255484.060613
0000000107,Space,"(1605, 544)",1538255484.0715837
0000000108,Space,"(1605, 544)",1538255484.1005065
0000000108,Space,"(1605, 544)",1538255484.1114779
0000000108,Space,"(1605, 544)",1538255484.1224477
0000000108,Space,"(1605, 544)",1538255484.1334183
0000000108,Space,"(1605, 544)",1538255484.144389
0000000108,Space,"(1605, 544)",1538255484.1553597
0000000108,Space,"(1605, 544)",1538255484.16633
0000000108,Space,"(1605, 544)",1538255484.177301
0000000108,Space,"(1605, 544)",1538255484.1882715
0000000108,Space,"(1605, 544)",1538255484.1992419
0000000108,Space,"(1605, 544)",1538255484.2102132
0000000108,Space,"(1605, 544)",1538255484.2211838
0000000109,Space,"(1605, 544)",1538255484.2560902
0000000109,Space,"(1605, 544)",1538255484.267061
0000000109,Space,"(1605, 544)",1538255484.2780318
0000000109,Space,"(1605, 544)",1538255484.289002
0000000109,Space,"(1605, 544)",1538255484.2999735
0000000109,Space,"(1605, 544)",1538255484.3109436
0000000109,Space,"(1605, 544)",1538255484.3219142
0000000109,Space,"(1605, 544)",1538255484.3328848
0000000109,Space,"(1605, 544)",1538255484.3433623
0000000109,Space,"(1605, 544)",1538255484.354333
0000000109,Space,"(1605, 544)",1538255484.3653035
0000000110,Space,"(1605, 544)",1538255484.4101834
0000000110,Space,"(1605, 544)",1538255484.4211545
0000000110,Space,"(1605, 544)",1538255484.4321249
0000000110,Space,"(1605, 544)",1538255484.4426022
0000000110,Space,"(1605, 544)",1538255484.4535728
0000000110,Space,"(1605, 544)",1538255484.4645436
